mel_mean_0,mel_mean_1,mel_mean_2,mel_mean_3,mel_mean_4,mel_mean_5,mel_mean_6,mel_mean_7,mel_mean_8,mel_mean_9,mel_mean_10,mel_mean_11,mel_mean_12,mel_mean_13,mel_mean_14,mel_mean_15,mel_mean_16,mel_mean_17,mel_mean_18,mel_mean_19,mel_mean_20,mel_mean_21,mel_mean_22,mel_mean_23,mel_mean_24,mel_mean_25,mel_mean_26,mel_mean_27,mel_mean_28,mel_mean_29,mel_mean_30,mel_mean_31,mel_mean_32,mel_mean_33,mel_mean_34,mel_mean_35,mel_mean_36,mel_mean_37,mel_mean_38,mel_mean_39,mel_mean_40,mel_mean_41,mel_mean_42,mel_mean_43,mel_mean_44,mel_mean_45,mel_mean_46,mel_mean_47,mel_mean_48,mel_mean_49,mel_mean_50,mel_mean_51,mel_mean_52,mel_mean_53,mel_mean_54,mel_mean_55,mel_mean_56,mel_mean_57,mel_mean_58,mel_mean_59,mel_mean_60,mel_mean_61,mel_mean_62,mel_mean_63,mel_std_0,mel_std_1,mel_std_2,mel_std_3,mel_std_4,mel_std_5,mel_std_6,mel_std_7,mel_std_8,mel_std_9,mel_std_10,mel_std_11,mel_std_12,mel_std_13,mel_std_14,mel_std_15,mel_std_16,mel_std_17,mel_std_18,mel_std_19,mel_std_20,mel_std_21,mel_std_22,mel_std_23,mel_std_24,mel_std_25,mel_std_26,mel_std_27,mel_std_28,mel_std_29,mel_std_30,mel_std_31,mel_std_32,mel_std_33,mel_std_34,mel_std_35,mel_std_36,mel_std_37,mel_std_38,mel_std_39,mel_std_40,mel_std_41,mel_std_42,mel_std_43,mel_std_44,mel_std_45,mel_std_46,mel_std_47,mel_std_48,mel_std_49,mel_std_50,mel_std_51,mel_std_52,mel_std_53,mel_std_54,mel_std_55,mel_std_56,mel_std_57,mel_std_58,mel_std_59,mel_std_60,mel_std_61,mel_std_62,mel_std_63,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,spec_centroid,spec_rolloff,spec_bandwidth,zero_crossing_rate,rms,start,end,time_center,abs_start,abs_end,abs_time_center,label,participant
-26.156094,-27.766834,-30.672192,-35.22654,-46.221306,-49.759403,-51.772552,-57.245476,-60.63564,-60.85288,-62.3956,-62.258747,-62.208355,-64.15982,-65.0653,-65.51585,-66.432106,-66.1211,-66.54768,-67.782005,-69.33647,-70.15619,-69.59326,-69.95112,-71.1382,-71.97729,-72.541084,-73.91122,-75.22855,-77.002235,-76.91629,-76.01785,-76.5914,-78.20717,-79.2827,-80.517426,-81.157745,-82.97752,-83.66173,-84.054596,-85.61267,-86.929726,-87.55759,-88.69199,-89.21169,-89.074715,-89.08166,-88.54387,-88.22508,-87.835594,-88.016624,-88.33922,-87.69863,-87.10658,-87.06453,-86.41585,-86.12748,-86.2856,-86.60165,-87.265526,-87.58768,-88.20501,-88.85206,-91.940346,3.1770906,3.4236321,2.6628022,2.7922542,3.0612977,2.9690888,3.316267,3.0141902,3.203922,3.5108333,3.247569,3.3283973,3.206258,2.974376,3.2373192,3.191416,3.4546266,3.3746982,3.3463652,3.5211062,3.4748123,3.4363642,3.3095112,3.6232514,3.6728308,3.7068472,3.390268,3.4684687,3.4528627,3.6608334,3.6024103,3.7414212,4.0922756,4.2780986,4.1031723,4.2592444,4.1875076,4.4139013,4.3774157,4.3424006,4.3350945,4.470429,4.367084,4.205101,4.52505,4.435363,4.6351476,4.667201,4.367252,4.2276545,4.3005066,4.6899195,4.279997,4.211697,4.71267,4.93431,5.1644335,5.1002374,4.905864,4.8025856,4.636675,4.418615,4.122981,4.0383563,-590.4108,112.77939,38.996235,17.441446,25.965088,21.28667,11.482632,17.03291,8.405722,8.100731,5.0501804,6.076998,1.2552617,21.204826,12.685098,5.2558937,4.1283827,3.77053,3.4153552,3.435263,3.4540331,3.3424244,3.1536486,3.383181,3.270082,3.0383544,0.2883076,0.32116345,0.43121845,0.6429772,0.9313866,0.8777633,0.43029383,0.35680875,0.33446583,0.32306117,0.30170056,0.2929764,0.18397596,0.17885056,0.2291452,0.18790781,0.11026331,0.13463287,0.167222,0.21986589,0.20969054,0.2139563,0.18498716,0.18138015,419.42148820783405,335.31344030959974,1280.9694162773062,0.009773555321925755,0.0014312225,0.0,10.0,5.0,4.0,14.0,9.0,pranayama,P2
-26.402666,-27.963545,-30.702198,-35.23501,-46.50842,-49.92652,-52.107624,-57.281643,-60.571407,-60.69999,-62.736683,-62.47593,-62.127666,-64.14708,-64.76909,-65.61317,-66.44333,-66.38934,-67.07064,-68.733765,-70.47742,-70.50726,-69.93274,-70.82797,-71.77975,-72.61729,-73.25471,-75.08858,-76.32481,-77.881386,-77.64256,-77.01002,-78.12935,-79.94372,-80.2531,-81.32664,-82.19597,-84.030945,-85.14088,-85.439835,-86.424286,-87.72781,-88.1926,-89.19579,-89.372406,-89.13142,-88.801735,-88.704956,-88.2596,-87.9391,-88.368454,-88.73162,-88.02474,-87.55217,-87.65504,-87.25076,-87.04188,-87.16373,-87.76653,-88.34404,-88.51466,-88.92954,-89.18159,-92.21612,3.2939465,3.5883095,2.6493788,2.843648,3.0401251,2.926133,3.4856365,3.065421,3.0565114,3.5687685,3.1537688,3.6024194,3.2464745,3.2344098,3.3570447,3.4135773,3.6350636,3.3410118,3.3616018,3.3723981,3.1285195,3.18272,3.3536007,3.5266843,3.330665,3.179321,3.139205,3.0469177,3.218804,3.4010847,3.1792438,3.3662486,3.4608753,3.753994,4.091246,4.0279603,3.9329195,4.427546,4.0591254,3.9272842,4.500924,4.388084,4.0970473,4.171624,4.205796,4.404316,4.752301,4.6298747,4.177882,4.3219886,4.4245877,4.6164794,4.272905,4.331156,4.8065715,4.7928486,4.967466,4.759854,4.5280623,4.4412055,4.49298,4.356986,4.163041,4.22217,-594.77515,114.02527,40.857086,18.044285,24.119114,21.597889,11.604608,15.996019,9.262714,7.9853373,5.491289,6.123629,1.2383087,19.683315,12.882216,5.370935,4.132847,4.0810738,3.2704787,3.3664324,3.6622157,3.6365001,3.3392656,3.4155107,3.2571566,3.072326,0.29887432,0.3007008,0.37365463,0.50554675,0.8370875,0.9494178,0.57178515,0.3923311,0.36032313,0.34433892,0.30906844,0.30385116,0.19786136,0.18182047,0.19572583,0.21474147,0.1456386,0.102025785,0.13704446,0.21916014,0.22115563,0.23585975,0.20514043,0.19561937,409.84203208361015,322.4234950514791,1255.9887725456765,0.009858523056844547,0.0013972031,10.0,20.0,15.0,14.0,24.0,19.0,pranayama,P2
-26.578863,-28.24231,-30.702124,-35.386658,-46.316856,-49.920025,-52.139328,-57.053192,-60.392315,-60.86001,-62.926914,-62.70136,-62.11281,-64.14066,-65.45888,-66.57401,-67.050064,-66.40787,-67.15319,-68.82413,-70.3962,-70.51257,-70.43749,-71.66533,-72.11909,-72.483955,-73.13251,-74.71168,-76.20049,-78.197,-77.191,-76.973175,-78.00468,-79.54696,-80.0952,-81.74773,-82.25039,-82.9552,-84.4089,-85.308464,-87.30157,-89.15663,-89.421616,-90.51461,-91.040184,-90.8095,-90.778366,-90.125175,-89.56861,-89.198105,-89.28938,-89.62159,-89.31303,-89.22499,-89.44103,-88.776146,-88.63319,-88.71179,-89.13786,-89.78669,-90.22281,-90.732475,-90.74575,-93.924095,3.1491919,3.3772166,2.5970433,2.7092261,3.0596611,3.1010973,3.428068,3.1506734,3.3573728,3.5252793,3.1471038,3.1550257,3.5743356,3.239963,3.5402606,2.971275,3.3350952,3.1784763,3.1516964,3.310765,3.4081311,3.2029376,2.9513853,3.0216475,3.0681305,3.057677,3.1335213,3.0148273,2.7332332,2.7151937,2.7313037,2.7332828,2.9107218,3.094974,3.513002,3.714729,4.005292,4.9639764,4.7506537,3.257583,2.8007371,2.6873915,2.5773156,2.5159972,2.348355,3.085062,3.521448,3.4290664,3.2177043,2.9785168,3.260467,3.3305135,3.2209375,2.936123,3.039725,3.0018916,2.7623944,2.6494472,2.7537217,2.6583524,2.4032235,2.3095112,2.2298715,2.0768907,-599.34436,118.37091,38.396976,18.351622,25.884295,21.207132,10.557737,16.769636,8.798518,7.0011,6.082847,5.628889,0.6684865,11.850276,7.6454268,5.6084213,4.8539753,3.8984308,4.004528,3.7694297,4.116561,3.285027,3.9486718,3.9986222,3.411401,3.751269,0.30789334,0.31732136,0.3983158,0.580206,0.9208261,0.8930201,0.44809115,0.36945263,0.34667936,0.3342847,0.3116059,0.3114283,0.19337565,0.1700219,0.19338824,0.17554988,0.11215084,0.12890165,0.15814416,0.2228111,0.21028054,0.22037879,0.19017975,0.1898336,365.50269071471496,278.1830046403712,1158.368055888351,0.009793947578306265,0.0013547199,20.0,30.0,25.0,24.0,34.0,29.0,pranayama,P2
-26.638746,-27.953102,-30.74894,-35.55204,-46.52429,-49.850292,-52.16717,-57.126564,-60.60012,-61.33833,-63.214935,-62.74857,-61.972603,-63.955917,-65.02538,-66.28225,-67.01375,-66.294266,-66.95144,-68.58096,-70.591,-70.45687,-70.02467,-71.16555,-72.13447,-72.81809,-73.31068,-75.161896,-76.24955,-77.83343,-77.253136,-76.90298,-78.20186,-79.94672,-81.00473,-82.482475,-83.208,-84.831696,-86.32392,-86.30133,-87.30681,-88.27772,-88.72021,-89.47242,-89.42722,-89.70926,-89.621086,-89.33579,-88.98846,-88.52637,-88.77797,-89.111305,-88.64597,-88.04654,-88.12716,-87.49351,-87.131134,-87.12071,-87.87461,-88.46872,-88.52097,-89.04488,-89.1638,-92.02369,3.139444,3.413794,2.7786317,2.8697283,2.9099262,2.9484835,3.4509819,3.1256483,3.0770757,3.4293132,3.3952909,3.9116018,3.5660815,3.4000018,3.1403682,3.1312585,3.0752995,3.1272125,3.278122,3.4053414,3.3501942,3.1952398,3.2367876,3.1659155,3.0920045,2.71829,2.900391,2.9018254,3.1048782,3.1537623,3.1709466,3.0824149,2.8315785,3.0400956,3.3393738,3.21553,3.2441313,3.1832933,3.1923375,3.048238,3.3722944,3.2135413,3.1102867,3.225194,3.64632,3.7657685,4.052839,4.0746417,3.4885728,3.5224524,3.7597644,4.0796304,3.7773595,3.829049,4.2671766,4.506292,4.7275143,4.711177,4.3656864,4.1724663,4.409325,4.220659,4.069907,4.062572,-596.95984,114.824936,41.604164,16.680754,24.783442,22.10758,11.642091,15.347266,9.674371,8.467746,4.546326,5.736038,1.8285453,15.54663,11.836351,5.4467874,4.064319,3.6554544,3.646323,3.8848486,3.5721335,3.294322,3.2440143,3.1757076,3.2435725,3.0553138,0.28917205,0.3167474,0.42250633,0.639604,0.95258695,0.85315764,0.43269843,0.36972702,0.33310187,0.3086518,0.28658095,0.28659987,0.18183099,0.17111805,0.20736928,0.17121838,0.09299275,0.1423076,0.16567431,0.2257151,0.21489494,0.2192778,0.18704975,0.1829917,402.3240008435019,302.41410328451275,1252.1698797806282,0.009997870142111369,0.0013696536,30.0,40.0,35.0,34.0,44.0,39.0,pranayama,P2
-26.431412,-28.074156,-30.819979,-35.48718,-46.33535,-49.86792,-52.296314,-57.50232,-60.75079,-61.165287,-63.39643,-62.694035,-62.382286,-64.55038,-65.51291,-66.43336,-67.27801,-66.70216,-67.6803,-69.6135,-70.92158,-70.91945,-70.6233,-71.95118,-72.633385,-73.26875,-74.16943,-75.832275,-77.09867,-78.76441,-78.269066,-77.76033,-79.657776,-81.66068,-82.05293,-83.23595,-83.49439,-84.81937,-86.00275,-87.14889,-89.069916,-90.239334,-90.48331,-91.318634,-91.38561,-91.455315,-91.9084,-91.86561,-91.13018,-90.89608,-91.095,-91.61087,-90.93668,-90.50495,-90.88377,-90.27975,-89.906906,-90.14549,-90.61487,-91.16416,-91.24447,-91.58396,-91.76519,-94.614685,3.3196504,3.585989,2.8663654,2.827653,3.1940255,2.943586,3.6028028,3.1671767,2.9602742,3.5259411,3.0006027,3.1033351,3.2125702,3.06984,3.1937811,3.0552626,3.1871939,3.1705942,3.0289311,3.18609,3.1191816,3.291206,3.0772521,2.9861128,2.9436805,2.858295,2.8502982,2.8661902,2.891367,2.684852,2.568713,2.4770205,2.5324833,2.6775644,3.226029,3.2960303,4.079183,5.409235,4.6133957,2.9515066,2.4663985,2.475918,2.3957236,2.3611388,2.5468051,2.5075443,2.6091259,2.5988402,2.325535,2.1968467,2.3928688,2.518179,2.429603,2.3497128,2.5548754,2.6931746,2.9340866,2.990415,2.734584,2.6080635,2.6027122,2.3006165,2.0920925,2.1823788,-606.4202,122.2244,40.00132,17.59375,25.541399,21.225502,11.953584,15.847462,9.103444,7.8779693,5.741048,5.6663465,1.108123,10.163435,6.8503385,5.6981874,4.2017922,3.36127,4.0136747,3.4975147,4.0953584,3.185721,3.6694367,3.436132,3.4204078,3.6321485,0.2934058,0.32784104,0.44217762,0.72700214,0.96971744,0.7956888,0.4125907,0.37553042,0.35540622,0.3307783,0.3048676,0.29631186,0.17944907,0.17688404,0.21828161,0.14798106,0.08044677,0.14174782,0.18162304,0.2136179,0.2093426,0.20549107,0.18019673,0.1785227,328.25594285588693,260.04715142836426,1074.2120563347376,0.009263748912412993,0.0014041178,40.0,50.0,45.0,44.0,54.0,49.0,pranayama,P2
-26.330177,-27.727467,-30.908419,-35.71179,-46.50852,-49.801346,-52.153194,-57.486713,-60.510582,-61.118256,-63.46916,-62.74157,-62.155117,-64.37916,-65.48233,-66.32219,-67.12514,-66.47436,-67.387024,-68.86211,-70.78225,-71.051956,-70.67748,-71.77841,-72.76286,-73.05242,-73.2292,-75.50086,-76.871086,-78.67967,-78.149994,-77.59124,-78.966385,-80.36489,-81.39648,-83.53125,-84.239105,-85.81966,-87.0125,-87.06516,-88.46857,-89.8467,-90.21397,-91.127304,-91.448364,-91.371284,-91.33488,-90.901085,-90.34351,-89.97545,-90.37076,-90.60087,-90.07471,-89.76304,-90.110466,-89.55017,-89.29706,-89.12407,-89.90853,-90.5974,-90.85552,-91.30758,-91.386734,-94.384605,3.3416572,3.530964,2.9318538,2.9113808,3.0592184,2.9939525,3.2026455,3.0156655,2.9975526,3.4308515,2.8746831,3.1636968,3.1026456,2.9289606,3.0566807,2.897619,3.2290585,3.0651681,3.1150265,2.8603818,2.907674,3.1134844,3.0561574,2.9259722,2.8315198,2.7746022,2.9805424,2.576173,2.670952,2.6703722,2.6731966,2.5549405,2.598051,2.9325285,2.976811,2.6247182,2.6379757,2.820188,2.5234134,2.434928,2.2771838,2.273954,2.2924817,2.1818447,2.2649672,2.259092,2.4553545,2.7097645,2.5761786,2.5588617,2.5045998,2.8638906,2.5789945,2.5798569,2.7830482,2.6104095,2.8028162,2.9885714,2.6652114,2.3574154,2.5094626,2.2689273,2.1168923,2.215362,-604.19257,120.72645,40.568027,17.050852,24.959574,22.46404,11.104349,15.7619705,9.701903,8.160924,5.1329327,5.592456,1.5241151,9.349778,6.5970893,4.4886737,3.416876,3.2470775,3.277647,3.7028902,3.2058427,3.178725,3.151865,3.047776,2.9232152,3.1454484,0.3235895,0.33924758,0.4363976,0.616318,0.9321366,0.85976833,0.4632979,0.40544227,0.38609263,0.37876576,0.3412719,0.33187768,0.22082882,0.19257994,0.21604331,0.19171083,0.110534705,0.14493538,0.15890524,0.23209375,0.2231727,0.2375527,0.2108042,0.21686164,336.88125863350183,252.25323103973318,1102.7559217884261,0.008979390226218097,0.0013984677,50.0,60.0,55.0,54.0,64.0,59.0,pranayama,P2
-26.782804,-28.007463,-30.843092,-35.665382,-46.841305,-50.256294,-52.51268,-57.349964,-60.94015,-61.4513,-63.40978,-62.775578,-62.26632,-64.62633,-65.52581,-66.5869,-67.24555,-66.75155,-67.50035,-69.643036,-71.58609,-71.111496,-70.7643,-71.967,-72.7969,-73.030655,-74.03833,-76.29728,-77.22552,-78.64045,-77.907906,-77.79678,-79.4063,-81.72771,-81.71056,-83.223755,-83.891335,-85.24266,-86.39964,-87.33139,-89.04904,-90.33392,-90.659546,-91.59862,-91.87914,-91.91979,-91.96252,-91.8713,-90.9182,-90.305954,-91.01212,-91.67695,-90.761635,-91.014244,-91.57265,-90.814964,-90.614296,-90.88584,-91.6051,-91.980606,-92.23439,-92.48466,-92.41364,-95.27552,3.2306147,3.2023287,2.7141073,2.8703759,3.0985057,2.8527288,3.382411,2.9078736,2.9948554,3.3333628,2.9547422,3.1938157,3.11042,2.9833138,3.1134763,3.014621,3.1924157,3.0333858,2.9993029,3.0635438,2.8548782,3.1733527,2.8674934,2.751926,2.9269943,2.6162205,2.6241057,2.4135752,2.4906292,2.7516744,2.9973269,2.6326544,2.4357028,2.3122525,3.0545235,3.2310882,3.9506443,5.2321873,4.4899015,2.7209287,2.3353243,1.9761617,1.9982983,1.9173303,1.8750674,2.102492,2.3901694,2.3801615,2.4447467,2.4630516,2.3992774,2.4594967,2.3536987,1.7449238,1.702079,2.2501278,2.7086587,2.5008366,1.9356283,1.8083051,1.6134111,1.4038074,1.208794,1.3231964,-607.9903,123.25426,38.80328,18.170956,24.90591,21.78537,11.282528,15.690016,9.853733,7.538075,6.1944118,5.4532213,1.2792171,8.462367,5.1132183,4.5445523,4.014474,3.4732342,4.1639752,3.527608,3.6896665,3.0001652,3.2508094,3.4978063,3.0847094,3.372513,0.2824183,0.30603635,0.4057709,0.61191195,0.94429904,0.8646641,0.44445267,0.3729359,0.34195575,0.32535434,0.29495224,0.2865329,0.18921731,0.17256705,0.19849415,0.17200015,0.103855,0.13968527,0.17380598,0.22815979,0.20538327,0.20562965,0.17484987,0.18108046,319.3598842440388,248.08148519069024,1046.089365660027,0.009515253407772623,0.001348468,60.0,70.0,65.0,64.0,74.0,69.0,pranayama,P2
-26.439571,-27.844643,-30.571423,-35.492123,-46.49146,-49.827908,-52.005604,-57.444443,-60.889107,-61.341892,-63.448154,-62.507324,-62.083263,-64.3313,-65.60024,-66.55464,-67.157776,-66.59138,-67.53955,-69.2965,-71.0553,-70.90611,-70.81916,-72.052185,-72.94573,-72.960594,-73.459274,-75.79181,-77.329575,-79.44974,-78.81013,-78.25671,-79.64044,-81.47417,-82.22087,-84.483025,-85.28718,-86.73495,-87.714806,-87.77104,-89.41464,-90.7703,-90.684746,-92.02574,-92.467316,-92.68472,-92.58672,-92.47598,-91.62773,-91.02742,-91.38195,-91.96063,-91.34801,-91.30204,-91.94449,-91.24654,-91.18182,-91.235664,-91.62471,-92.05627,-92.39897,-92.56806,-92.389755,-95.22553,3.0765016,3.4566433,2.7870998,3.0701318,2.924318,2.9510915,3.4356844,3.073948,3.0322752,3.3233643,3.0059392,3.1148515,3.2323081,2.9635737,3.101034,2.832931,3.1684973,2.9480402,3.0078635,3.1620347,3.0781229,2.7716534,2.978378,2.9655135,2.7148318,2.5721798,3.0439265,2.7771647,2.5072644,2.6323936,2.6718764,2.6954565,2.7812417,2.7121527,2.745536,2.381976,2.3719902,2.6094165,2.2968733,2.1237912,2.2224436,1.979894,1.9269507,1.7706736,1.791755,1.8263776,2.1839674,2.335131,2.2612977,2.3131895,2.4721804,2.7160983,2.1858253,1.7404532,1.9248888,2.27745,2.3329492,2.4075696,2.1675258,1.902923,1.6354604,1.4234506,1.3435075,1.4717056,-609.5313,125.27416,40.18858,16.842533,24.921028,22.311008,11.926078,15.094666,9.809627,7.921857,5.9673734,5.0546446,1.7926946,7.500386,5.0095034,3.6679034,3.6192772,3.2615657,3.7014663,3.5359757,3.183648,3.099374,3.1292355,2.995211,2.9908354,3.0520036,0.29389277,0.30782765,0.39840704,0.58143383,0.92172045,0.8687032,0.45502663,0.39078832,0.3653969,0.3523729,0.3183904,0.3058863,0.19284275,0.17249279,0.19692732,0.18338345,0.13127162,0.15112159,0.16168371,0.22844213,0.21716481,0.23522513,0.20368007,0.19833201,308.3913361622729,242.33596695548144,1020.8950941373289,0.009070022476798143,0.001386672,70.0,80.0,75.0,74.0,84.0,79.0,pranayama,P2
-26.318201,-27.690372,-30.912046,-35.80447,-46.914055,-50.046337,-51.992123,-57.16864,-60.436756,-60.86553,-63.20343,-62.68981,-62.238598,-64.04075,-65.42809,-66.369125,-66.938255,-66.51113,-67.35139,-69.00218,-70.697495,-70.67268,-70.413086,-71.517,-72.4821,-72.95395,-73.52157,-75.490395,-76.668915,-78.08868,-77.401505,-77.07428,-78.69725,-80.689026,-81.01848,-83.06687,-83.95847,-85.69791,-86.85138,-87.10727,-88.29691,-89.407074,-89.76496,-90.55737,-90.91123,-90.67414,-90.86028,-90.68373,-89.69019,-89.11362,-89.6358,-90.50526,-89.76424,-89.63905,-90.20418,-89.43344,-88.89447,-89.245834,-89.97245,-90.46872,-90.80989,-91.21315,-91.27415,-94.36342,3.2135854,3.5519466,2.9627864,2.9624288,3.350141,2.9921856,3.2630901,3.112447,3.131319,3.2964015,3.3737645,3.684822,3.5153668,3.2029762,3.4836597,3.1949663,3.336871,3.1765742,3.1140258,3.1734135,3.1881862,2.9365532,3.0647755,2.969043,2.8587053,2.726171,2.8059907,2.7363927,2.8163152,2.9097033,3.0882409,2.912869,2.695863,2.8037505,3.180583,2.8535373,2.8461154,3.0409346,2.724938,2.6381109,2.8474255,2.5888727,2.4523742,2.6827722,2.781709,3.3514552,3.1882923,2.9499812,3.0800989,3.2268312,3.20968,3.0414758,2.70294,2.5396776,2.6784556,2.9449565,3.2389448,3.174236,2.7228835,2.707712,2.5710094,2.3884528,2.2893937,2.2080865,-602.67163,120.06848,39.895546,17.553339,24.429337,22.684664,10.917348,15.199329,10.066172,8.016185,4.988699,5.808176,1.8886455,11.437548,7.6754103,4.6749783,4.161894,3.87063,3.4146311,3.6859555,3.1364508,3.2180214,3.2295887,2.9505808,3.0541961,3.0245953,0.30418247,0.3459509,0.47219345,0.7451327,0.9638974,0.7962824,0.43623614,0.39754635,0.36600047,0.3356834,0.30898184,0.30438834,0.19859515,0.19061038,0.22694206,0.15965559,0.08912725,0.14688517,0.19359775,0.231272,0.21256013,0.20730291,0.18128592,0.19211702,346.0457022030236,265.5928255510441,1115.664619705378,0.009204837949535962,0.0013943507,80.0,90.0,85.0,84.0,94.0,89.0,pranayama,P2
-26.576946,-28.115364,-30.775776,-35.501972,-46.487076,-49.928246,-52.009285,-57.28739,-60.37423,-60.82024,-62.4601,-61.7236,-61.825386,-63.96479,-65.3148,-66.202835,-66.917625,-66.578865,-67.4418,-68.73642,-70.41937,-70.67501,-70.175125,-71.35714,-72.15032,-72.66392,-73.15272,-75.04102,-76.4221,-77.67999,-76.989136,-76.928345,-78.26368,-79.662415,-79.62282,-81.59346,-81.596756,-82.49755,-84.19815,-84.97738,-86.49574,-88.21119,-89.04896,-89.65718,-89.77478,-89.514656,-89.518295,-89.46268,-89.34244,-88.97844,-89.0468,-89.58292,-89.044685,-89.03857,-89.593124,-89.10789,-88.842896,-88.70275,-89.110504,-89.76679,-90.22024,-90.492004,-90.35026,-93.30755,3.1384847,3.3398952,2.5574925,2.693955,3.0593534,3.0783713,3.4352376,3.238449,3.1630306,3.2560909,3.4583697,3.7883599,3.6365407,3.6466098,3.581905,3.1233895,3.2237756,3.2079635,3.2562683,3.5623353,3.2769694,3.1332026,3.156983,3.2487032,3.2047837,2.987647,3.1875715,3.1402133,3.280894,3.3451161,3.418261,3.2048473,3.1149442,3.4454622,4.0723295,3.978186,4.8992324,6.2082267,5.6023746,3.9672446,4.13309,4.0686407,3.9131465,4.1618176,4.257276,4.4527755,4.7180305,4.231791,3.6207428,3.536717,4.017348,4.0796223,3.9139404,4.0653725,4.208122,4.089841,4.2190514,4.2907495,3.9514294,4.0200925,4.1611133,3.7663324,3.8795218,3.9132948,-597.66504,117.53569,37.906254,19.589304,24.960217,20.266941,11.275312,15.759782,9.211032,7.148434,6.30655,6.1458716,1.1007264,17.455008,11.244039,7.1412773,5.606641,4.28615,4.331249,3.6591535,4.1938004,3.3744535,4.0129743,3.3449094,3.1414475,3.7319794,0.304998,0.3236487,0.42245626,0.6370199,0.94480526,0.8382152,0.42955357,0.38182986,0.3646949,0.35459715,0.3202115,0.31075537,0.19493094,0.17150213,0.19972087,0.16891916,0.10884887,0.14277954,0.1642832,0.22412004,0.22598013,0.23518448,0.19734742,0.1929911,380.8495171350572,304.0378366988109,1176.7670014490006,0.009669328233758701,0.001357471,90.0,100.0,95.0,94.0,104.0,99.0,pranayama,P2
